uid,first_name,last_name,common_name,gender,birth_date,birth_city,nationality_code3,height_cm,weight_kg,source,role_type,position_main,preferred_foot,current_ability,potential_ability,t_control,t_conduccion,t_pase,t_pase_un_toque,t_finalizacion,t_tiro_lejano,t_regate,t_poste,t_entrada,t_intercepcion,t_bloqueo,g_paradas,g_reflejos,g_uno_con_uno,g_juego_pies,g_distribucion,g_posicionamiento,g_salidas,g_jugador,m_vision,m_decision,m_anticipacion,m_concentracion,m_posicionamiento,m_agresividad,m_serenidad,m_liderazgo,m_equipo,m_trabajo,m_arrojo,p_aceleracion,p_velocidad,p_agilidad,p_equilibrio,p_coordinacion,p_resistencia,p_fuerza,p_salto,h_consistencia,h_lesiones,h_juego_duro,h_temperamento,staff_role,ent_tecnica,ent_ofensiva,ent_defensiva,ent_porteros,ent_fisica,ent_tactica,medicina,h_juicio_habilidad,h_juicio_potencial,motivacion,gestion_vestuario,negociacion,adaptabilidad,referee_country,strictness,big_match_rating
person-club-burela-fs-006,Antonio,López,,M,1993-12-14,,ESP,180,81,import,player,ALD,D,85,103,5,10,11,11,10,11,7,11,8,9,6,1,1,1,1,1,1,1,1,7,9,9,8,8,9,11,5,6,7,9,5,7,9,6,7,9,9,7,10,12,12,9,,,,,,,,,,,,,,,,,
person-club-burela-fs-007,Antonio,Rivera,,M,2004-07-22,,ESP,191,67,import,player,UNI,D,90,106,11,9,7,11,8,10,8,9,11,8,10,1,1,1,1,1,1,1,1,9,8,9,9,11,8,7,8,10,11,8,11,6,12,8,7,7,8,12,15,9,10,11,,,,,,,,,,,,,,,,,
person-club-burela-fs-008,Iván,Rodríguez,,M,1994-01-14,,ESP,186,81,import,player,ALD,D,103,115,13,8,9,7,8,11,10,10,9,9,12,1,1,1,1,1,1,1,1,7,12,7,10,8,8,13,10,10,8,13,7,11,9,9,7,11,9,11,15,8,10,15,,,,,,,,,,,,,,,,,
person-club-burela-fs-009,David,Flores,Raúl,M,2002-12-02,,ESP,174,71,import,player,ALI,D,104,127,7,8,7,13,11,8,8,12,7,7,12,1,1,1,1,1,1,1,1,12,12,10,12,8,12,10,11,12,13,11,10,9,13,8,7,12,10,13,8,11,8,10,,,,,,,,,,,,,,,,,
person-club-burela-fs-010,Pablo,González,,M,1990-02-08,,ESP,191,85,import,player,CIE,I,86,95,10,10,11,9,6,9,8,8,6,7,10,1,1,1,1,1,1,1,1,9,11,7,5,8,7,5,5,7,9,9,8,8,11,11,6,10,10,10,11,13,11,12,,,,,,,,,,,,,,,,,
person-club-burela-fs-011,Marcos,Rivera,,M,2005-08-01,,ESP,186,77,import,player,ALI,I,86,111,11,11,10,8,10,6,10,9,10,6,6,1,1,1,1,1,1,1,1,8,10,7,8,9,9,8,11,5,6,7,5,9,9,8,7,9,7,5,12,15,14,9,,,,,,,,,,,,,,,,,
person-club-burela-fs-012,Sergio,Reyes,Carlitos,M,2003-10-05,,ESP,173,71,import,player,CIE,D,82,83,7,11,7,11,8,9,8,8,8,11,5,1,1,1,1,1,1,1,1,10,7,10,5,6,9,9,7,9,8,7,6,9,7,9,9,6,7,9,14,12,10,10,,,,,,,,,,,,,,,,,
person-club-burela-fs-coach,Rubén,Rivera,,M,1970-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,11,10,11,10,16,15,10,18,14,14,13,17,12,,,
person-club-noia-fs-001,Pablo,Flores,,M,1991-10-21,,ESP,191,84,import,player,POR,AM,74,90,4,3,8,3,6,5,3,8,5,4,5,9,6,7,10,10,11,9,11,6,7,8,11,8,7,10,10,11,12,12,7,10,5,6,5,10,10,7,11,8,10,12,,,,,,,,,,,,,,,,,
person-club-noia-fs-002,Daniel,Reyes,,M,1994-09-10,,ESP,199,67,import,player,POR,I,83,94,7,7,8,4,5,7,7,7,4,8,5,12,11,9,12,8,7,6,10,6,11,11,11,12,8,11,8,5,8,5,9,5,6,12,7,9,5,8,10,12,12,10,,,,,,,,,,,,,,,,,
person-club-noia-fs-003,Alberto,Díaz,,M,2001-12-17,,ESP,178,71,import,player,CIE,AM,90,119,11,12,12,12,11,10,8,11,8,8,8,1,1,1,1,1,1,1,1,9,10,12,7,8,7,11,10,6,10,9,11,6,12,6,12,6,8,8,11,9,13,10,,,,,,,,,,,,,,,,,
person-club-noia-fs-004,Miguel,Torres,,M,1992-11-26,,ESP,189,72,import,player,CIE,I,82,101,10,11,6,7,10,10,9,6,6,6,6,1,1,1,1,1,1,1,1,10,11,10,9,7,7,11,10,5,10,7,10,10,10,5,6,5,11,10,13,8,14,11,,,,,,,,,,,,,,,,,
person-club-noia-fs-005,Javier,Torres,,M,1999-06-03,,ESP,192,69,import,player,ALI,AM,99,125,7,11,12,12,9,12,12,7,11,8,7,1,1,1,1,1,1,1,1,9,9,11,10,10,7,9,10,7,6,9,9,11,9,8,8,7,9,7,10,14,12,15,,,,,,,,,,,,,,,,,
person-club-noia-fs-006,Carlos,López,,M,1991-06-20,,ESP,193,79,import,player,UNI,I,80,81,8,10,11,11,6,9,6,5,10,9,7,1,1,1,1,1,1,1,1,6,7,6,8,9,10,8,5,7,11,8,11,7,8,6,6,11,5,8,14,12,8,8,,,,,,,,,,,,,,,,,
person-club-noia-fs-007,Alberto,García,,M,1999-06-07,,ESP,175,65,import,player,UNI,AM,88,100,9,11,6,8,9,6,10,6,8,11,11,1,1,1,1,1,1,1,1,8,7,11,7,7,5,6,10,9,5,7,7,11,6,7,8,8,10,8,10,13,10,13,,,,,,,,,,,,,,,,,
person-club-noia-fs-008,Raúl,Díaz,,M,2002-10-17,,ESP,192,79,import,player,ALD,AM,78,101,4,4,6,5,7,4,6,6,9,5,7,1,1,1,1,1,1,1,1,5,6,6,9,6,7,4,8,5,4,8,7,4,8,7,6,5,10,5,14,12,9,10,,,,,,,,,,,,,,,,,
person-club-noia-fs-009,Fernando,Morales,Chino,M,1990-12-08,,ESP,188,76,import,player,ALI,D,82,85,8,11,7,7,8,6,8,10,7,9,6,1,1,1,1,1,1,1,1,9,11,9,5,8,8,8,11,11,5,5,7,6,11,5,7,10,5,10,9,11,8,9,,,,,,,,,,,,,,,,,
person-club-noia-fs-010,Iván,López,,M,2001-06-25,,ESP,190,83,import,player,UNI,AM,82,97,11,9,6,9,8,10,9,9,6,7,8,1,1,1,1,1,1,1,1,5,8,8,11,9,9,9,8,10,9,10,10,9,11,8,6,9,6,8,10,12,10,15,,,,,,,,,,,,,,,,,
person-club-noia-fs-011,Raúl,González,,M,2000-06-28,,ESP,183,83,import,player,CIE,I,92,110,9,10,8,6,11,7,8,6,7,7,11,1,1,1,1,1,1,1,1,9,10,12,9,6,8,10,6,12,11,9,9,7,6,6,8,6,7,7,14,10,14,12,,,,,,,,,,,,,,,,,
person-club-noia-fs-012,Miguel,Rivera,Chino,M,1995-09-24,,ESP,195,65,import,player,CIE,AM,88,96,7,11,9,5,7,7,11,9,11,6,6,1,1,1,1,1,1,1,1,11,9,11,6,11,5,7,7,10,5,10,11,10,6,11,5,9,8,10,13,9,8,9,,,,,,,,,,,,,,,,,
person-club-noia-fs-coach,Iván,Martínez,,M,1981-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,10,14,18,14,10,11,11,10,11,10,10,18,11,,,
person-referee-001,Fernando,Pérez,,M,1989-05-10,,ESP,180,78,import,referee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,11,76
person-referee-002,Daniel,Morales,,M,1993-05-10,,ESP,180,78,import,referee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,17,54
person-referee-003,Antonio,González,,M,1982-05-10,,ESP,180,78,import,referee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,9,60
person-referee-004,Javier,Morales,,M,1987-05-10,,ESP,180,78,import,referee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,9,45
